iter	Passed	Remaining
0	1	169
1	3	153
2	4	145
3	5	134
4	7	134
5	8	131
6	9	131
7	11	132
8	13	132
9	14	131
10	16	129
11	17	128
12	18	126
13	20	124
14	21	122
15	23	120
16	24	119
17	25	118
18	27	117
19	29	116
20	30	115
21	32	116
22	34	114
23	35	112
24	37	111
25	38	109
26	44	119
27	45	117
28	47	115
29	48	114
30	50	111
31	51	109
32	53	108
33	54	106
34	56	104
35	58	103
36	59	101
37	61	100
38	62	98
39	64	96
40	65	94
41	65	90
42	67	89
43	68	87
44	70	85
45	71	84
46	73	83
47	75	81
48	76	79
49	77	77
50	79	76
51	80	74
52	82	72
53	83	71
54	84	68
55	85	67
56	87	65
57	89	64
58	90	62
59	91	61
60	93	59
61	94	57
62	95	56
63	96	54
64	98	52
65	99	51
66	100	49
67	102	48
68	103	46
69	109	46
70	110	45
71	112	43
72	113	42
73	115	40
74	116	38
75	117	37
76	119	35
77	120	33
78	121	32
79	123	30
80	125	29
81	126	27
82	128	26
83	129	24
84	130	23
85	132	21
86	134	20
87	135	18
88	137	16
89	138	15
90	139	13
91	141	12
92	142	10
93	143	9
94	145	7
95	146	6
96	147	4
97	149	3
98	150	1
99	151	0
