iter	Passed	Remaining
0	2	2591
1	5	2597
2	7	2369
3	9	2277
4	10	2184
5	12	2095
6	14	2030
7	15	1957
8	17	1914
9	19	1922
10	22	2005
11	23	1951
12	25	1908
13	26	1875
14	28	1838
15	29	1802
16	30	1767
17	31	1742
18	33	1723
19	35	1717
20	36	1705
21	37	1688
22	39	1668
23	40	1661
24	42	1646
25	43	1633
26	44	1620
27	46	1613
28	47	1605
29	49	1592
30	50	1583
31	51	1570
32	53	1562
33	54	1553
34	56	1545
35	57	1537
36	58	1531
37	60	1525
38	61	1517
39	62	1510
40	64	1503
41	65	1498
42	67	1491
43	68	1485
44	69	1481
45	71	1475
46	72	1473
47	74	1468
48	75	1465
49	76	1460
50	78	1456
51	79	1452
52	80	1446
53	82	1443
54	83	1438
55	85	1435
56	86	1431
57	87	1427
58	89	1425
59	90	1422
60	92	1419
61	93	1416
62	95	1413
63	96	1409
64	97	1406
65	99	1403
66	100	1401
67	102	1398
68	103	1395
69	104	1392
70	106	1388
71	107	1384
72	108	1381
73	110	1377
74	111	1373
75	112	1370
76	114	1367
77	115	1364
78	116	1361
79	118	1358
80	119	1356
81	120	1354
82	121	1343
83	122	1341
84	124	1339
85	125	1337
86	127	1335
87	128	1334
88	130	1333
89	131	1332
90	133	1329
91	134	1327
92	135	1324
93	137	1322
94	138	1319
95	139	1317
96	141	1315
97	142	1311
98	143	1309
99	145	1308
100	146	1305
101	148	1303
102	149	1299
103	150	1296
104	151	1295
105	153	1293
106	154	1291
107	156	1290
108	157	1288
109	159	1287
110	160	1284
111	161	1282
112	163	1280
113	164	1278
114	165	1277
115	167	1275
116	168	1271
117	169	1269
118	171	1267
119	172	1265
120	173	1263
121	175	1259
122	176	1257
123	177	1256
124	179	1254
125	180	1252
126	181	1249
127	183	1247
128	184	1246
129	186	1247
130	187	1245
131	189	1243
132	190	1242
133	191	1240
134	193	1238
135	194	1236
136	195	1234
137	197	1232
138	198	1230
139	200	1230
140	201	1228
141	202	1223
142	203	1222
143	205	1221
144	206	1219
145	208	1217
146	209	1215
147	210	1213
148	212	1212
149	213	1210
150	214	1208
151	216	1207
152	217	1205
153	219	1203
154	220	1202
155	222	1201
156	223	1199
157	224	1198
158	226	1197
159	227	1196
160	228	1191
161	230	1190
162	231	1188
163	232	1186
164	234	1185
165	235	1183
166	237	1182
167	238	1181
168	239	1179
169	241	1177
170	242	1176
171	243	1174
172	245	1173
173	246	1172
174	248	1170
175	249	1168
176	250	1166
177	252	1164
178	253	1162
179	254	1161
180	256	1161
181	258	1159
182	259	1159
183	261	1158
184	262	1157
185	264	1156
186	265	1156
187	267	1155
188	269	1155
189	270	1155
190	272	1154
191	274	1154
192	275	1153
193	277	1152
194	279	1152
195	280	1151
196	282	1150
197	283	1149
198	285	1148
199	286	1147
200	288	1146
201	290	1145
202	291	1145
203	293	1144
204	294	1142
205	296	1141
206	297	1141
207	299	1140
208	301	1139
209	302	1138
210	304	1137
211	305	1136
212	307	1136
213	309	1135
214	310	1134
215	312	1133
216	314	1133
217	315	1131
218	317	1131
219	318	1129
220	320	1129
221	322	1128
222	323	1127
223	325	1126
224	326	1125
225	328	1125
226	330	1124
227	331	1122
228	333	1122
229	334	1121
230	336	1119
231	337	1118
232	339	1117
233	341	1116
234	343	1116
235	344	1116
236	347	1117
237	348	1116
238	350	1115
239	352	1115
240	353	1114
241	355	1113
242	357	1112
243	358	1111
244	360	1110
245	361	1109
246	363	1107
247	365	1107
248	366	1105
249	368	1104
250	369	1103
251	371	1102
252	372	1101
253	374	1099
254	376	1098
255	377	1098
256	379	1097
257	380	1095
258	382	1094
259	384	1093
260	385	1092
261	387	1090
